Year,Value,Average Precipitation,Average Temperature
1991,15000,103.2848083333,22.7079
1992,15000,93.8163666667,22.6670583333
1993,16000,88.2490583333,22.556875
1994,17000,107.3231833333,22.4837166667
1995,16000,97.918725,23.3431083333
1996,17000,108.52955,23.0189833333
1997,20000,107.51592,23.4647166667
1998,19000,101.7512333333,23.0920583333
1999,19000,103.2014083333,23.0879833333
2000,16000,93.1353833333,23.5938833333
2001,15000,105.078525,24.1758666667
2002,16200,109.6859083333,24.51845
2003,13500,103.00085,24.4717916667
2004,15000,95.762975,23.8567083333
2005,15000,79.31245,24.0215333333
2006,16005,110.5138083333,23.924775
2007,16165,121.638725,23.8768
2008,15211,98.038325,24.0638666667
2009,16657,97.4872333333,24.7333166667
2010,16990,118.9396166667,24.2372
2011,17330,110.0423833333,23.7862333333
2012,12000,117.666575,23.43125
2013,17000,121.7781333333,23.4988583333
2014,17000,99.9432583333,23.6246416667
