Year,Value,Average Precipitation,Average Temperature
1991,576000,103.2848083333,22.7079
1992,634000,93.8163666667,22.6670583333
1993,610000,88.2490583333,22.556875
1994,610000,107.3231833333,22.4837166667
1995,632000,97.918725,23.3431083333
1996,440000,108.52955,23.0189833333
1997,502000,107.51592,23.4647166667
1998,642000,101.7512333333,23.0920583333
1999,606000,103.2014083333,23.0879833333
2000,534000,93.1353833333,23.5938833333
2001,584000,105.078525,24.1758666667
2002,590000,109.6859083333,24.51845
2003,640000,103.00085,24.4717916667
2004,659000,95.762975,23.8567083333
2005,672000,79.31245,24.0215333333
2006,686784,110.5138083333,23.924775
2007,732112,121.638725,23.8768
2008,274857,98.038325,24.0638666667
2009,249510,97.4872333333,24.7333166667
2010,267973,118.9396166667,24.2372
2011,292000,110.0423833333,23.7862333333
2012,244000,117.666575,23.43125
2013,228000,121.7781333333,23.4988583333
2014,236000,99.9432583333,23.6246416667
