Year,Product,Value,Average Precipitation,Average Temperature
1991,Sesame seed,61000,103.2848083333,22.7079
1992,Sesame seed,72000,93.8163666667,22.6670583333
1993,Sesame seed,75000,88.2490583333,22.556875
1994,Sesame seed,70000,107.3231833333,22.4837166667
1995,Sesame seed,71000,97.918725,23.3431083333
1996,Sesame seed,73000,108.52955,23.0189833333
1997,Sesame seed,73000,107.51592,23.4647166667
1998,Sesame seed,77000,101.7512333333,23.0920583333
1999,Sesame seed,93000,103.2014083333,23.0879833333
2000,Sesame seed,97000,93.1353833333,23.5938833333
2001,Sesame seed,102000,105.078525,24.1758666667
2002,Sesame seed,106000,109.6859083333,24.51845
2003,Sesame seed,120000,103.00085,24.4717916667
2004,Sesame seed,125000,95.762975,23.8567083333
2005,Sesame seed,160800,79.31245,24.0215333333
2006,Sesame seed,165624,110.5138083333,23.924775
2007,Sesame seed,167943,121.638725,23.8768
2008,Sesame seed,99065,98.038325,24.0638666667
2009,Sesame seed,114994,97.4872333333,24.7333166667
2010,Sesame seed,118559,118.9396166667,24.2372
2011,Sesame seed,142000,110.0423833333,23.7862333333
2012,Sesame seed,124000,117.666575,23.43125
2013,Sesame seed,124000,121.7781333333,23.4988583333
2014,Sesame seed,145000,99.9432583333,23.6246416667
