Year,Product,Value,Average Precipitation,Average Temperature
1991,Soybeans,59000,103.2848083333,22.7079
1992,Soybeans,53000,93.8163666667,22.6670583333
1993,Soybeans,67000,88.2490583333,22.556875
1994,Soybeans,75000,107.3231833333,22.4837166667
1995,Soybeans,79000,97.918725,23.3431083333
1996,Soybeans,87000,108.52955,23.0189833333
1997,Soybeans,84000,107.51592,23.4647166667
1998,Soybeans,92000,101.7512333333,23.0920583333
1999,Soybeans,101000,103.2014083333,23.0879833333
2000,Soybeans,128000,93.1353833333,23.5938833333
2001,Soybeans,144000,105.078525,24.1758666667
2002,Soybeans,166000,109.6859083333,24.51845
2003,Soybeans,160000,103.00085,24.4717916667
2004,Soybeans,158000,95.762975,23.8567083333
2005,Soybeans,158400,79.31245,24.0215333333
2006,Soybeans,174556.8,110.5138083333,23.924775
2007,Soybeans,176302.368,121.638725,23.8768
2008,Soybeans,21727,98.038325,24.0638666667
2009,Soybeans,27000,97.4872333333,24.7333166667
2010,Soybeans,27216,118.9396166667,24.2372
2011,Soybeans,32000,110.0423833333,23.7862333333
2012,Soybeans,23000,117.666575,23.43125
2013,Soybeans,23000,121.7781333333,23.4988583333
2014,Soybeans,27900,99.9432583333,23.6246416667
