Year,Product,Value,Average Precipitation,Average Temperature
1991,Sunflower seed,,103.2848083333,22.7079
1992,Sunflower seed,31000,93.8163666667,22.6670583333
1993,Sunflower seed,35000,88.2490583333,22.556875
1994,Sunflower seed,39000,107.3231833333,22.4837166667
1995,Sunflower seed,44000,97.918725,23.3431083333
1996,Sunflower seed,49000,108.52955,23.0189833333
1997,Sunflower seed,54000,107.51592,23.4647166667
1998,Sunflower seed,57000,101.7512333333,23.0920583333
1999,Sunflower seed,65000,103.2014083333,23.0879833333
2000,Sunflower seed,79000,93.1353833333,23.5938833333
2001,Sunflower seed,99000,105.078525,24.1758666667
2002,Sunflower seed,124000,109.6859083333,24.51845
2003,Sunflower seed,160000,103.00085,24.4717916667
2004,Sunflower seed,163900,95.762975,23.8567083333
2005,Sunflower seed,172700,79.31245,24.0215333333
2006,Sunflower seed,172700,110.5138083333,23.924775
2007,Sunflower seed,172700,121.638725,23.8768
2008,Sunflower seed,216747,98.038325,24.0638666667
2009,Sunflower seed,234086,97.4872333333,24.7333166667
2010,Sunflower seed,253047,118.9396166667,24.2372
2011,Sunflower seed,265000,110.0423833333,23.7862333333
2012,Sunflower seed,230000,117.666575,23.43125
2013,Sunflower seed,238000,121.7781333333,23.4988583333
2014,Sunflower seed,290000,99.9432583333,23.6246416667
