Year,Product,Value,Average Precipitation,Average Temperature
1991,Sweet potatoes,1785000,103.2848083333,22.7079
1992,Sweet potatoes,1905000,93.8163666667,22.6670583333
1993,Sweet potatoes,1958000,88.2490583333,22.556875
1994,Sweet potatoes,2129000,107.3231833333,22.4837166667
1995,Sweet potatoes,2223000,97.918725,23.3431083333
1996,Sweet potatoes,1548000,108.52955,23.0189833333
1997,Sweet potatoes,1894000,107.51592,23.4647166667
1998,Sweet potatoes,2176000,101.7512333333,23.0920583333
1999,Sweet potatoes,2354000,103.2014083333,23.0879833333
2000,Sweet potatoes,2398000,93.1353833333,23.5938833333
2001,Sweet potatoes,2515000,105.078525,24.1758666667
2002,Sweet potatoes,2592000,109.6859083333,24.51845
2003,Sweet potatoes,2610000,103.00085,24.4717916667
2004,Sweet potatoes,2650000,95.762975,23.8567083333
2005,Sweet potatoes,2604000,79.31245,24.0215333333
2006,Sweet potatoes,2627436,110.5138083333,23.924775
2007,Sweet potatoes,2653710,121.638725,23.8768
2008,Sweet potatoes,1794244,98.038325,24.0638666667
2009,Sweet potatoes,1942525,97.4872333333,24.7333166667
2010,Sweet potatoes,1987203,118.9396166667,24.2372
2011,Sweet potatoes,1798000,110.0423833333,23.7862333333
2012,Sweet potatoes,1852000,117.666575,23.43125
2013,Sweet potatoes,1811000,121.7781333333,23.4988583333
2014,Sweet potatoes,1817900,99.9432583333,23.6246416667
