Year,Product,Value,Average Precipitation,Average Temperature
1991,Wheat,9000,103.2848083333,22.7079
1992,Wheat,9000,93.8163666667,22.6670583333
1993,Wheat,9000,88.2490583333,22.556875
1994,Wheat,9000,107.3231833333,22.4837166667
1995,Wheat,9000,97.918725,23.3431083333
1996,Wheat,9000,108.52955,23.0189833333
1997,Wheat,9000,107.51592,23.4647166667
1998,Wheat,9000,101.7512333333,23.0920583333
1999,Wheat,11000,103.2014083333,23.0879833333
2000,Wheat,12000,93.1353833333,23.5938833333
2001,Wheat,14000,105.078525,24.1758666667
2002,Wheat,14000,109.6859083333,24.51845
2003,Wheat,15000,103.00085,24.4717916667
2004,Wheat,15000,95.762975,23.8567083333
2005,Wheat,15300,79.31245,24.0215333333
2006,Wheat,17993,110.5138083333,23.924775
2007,Wheat,18695,121.638725,23.8768
2008,Wheat,19000,98.038325,24.0638666667
2009,Wheat,20000,97.4872333333,24.7333166667
2010,Wheat,20000,118.9396166667,24.2372
2011,Wheat,23000,110.0423833333,23.7862333333
2012,Wheat,20000,117.666575,23.43125
2013,Wheat,20000,121.7781333333,23.4988583333
2014,Wheat,22000,99.9432583333,23.6246416667
